user_id,value
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,No hit
Participant1,No hit
Participant1,No hit
Participant1,No hit
Participant1,No hit
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - locutor]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
Participant1,AOI hit [clase prueba - conceptos]
